iter	MAPE
0	0.003506135692
1	0.003478643978
2	0.003453452705
3	0.00342243018
4	0.003390903508
5	0.003369408062
6	0.003344189775
7	0.003323251694
8	0.003304486319
9	0.003287481779
10	0.003276035874
11	0.003261100084
12	0.003251981888
13	0.003236342458
14	0.003226661901
15	0.003212650084
16	0.003202212987
17	0.003191675658
18	0.00317614551
19	0.003166729119
20	0.003159375312
21	0.003150951004
22	0.003143546673
23	0.003136924359
24	0.003129966158
25	0.003124394957
26	0.003119721394
27	0.003113586934
28	0.003109441685
29	0.003103120915
30	0.003101375021
31	0.003099232473
32	0.003095811336
33	0.003093512283
34	0.003090855063
35	0.003088775217
36	0.003087530226
37	0.003085646703
38	0.003084480607
39	0.003080295983
40	0.003078400164
41	0.003076492921
42	0.00307414028
43	0.003071441682
44	0.003069549109
45	0.003067613977
46	0.003066885903
47	0.003065287327
48	0.003064877059
49	0.003062392725
50	0.00306030271
51	0.003058276848
52	0.00305683299
53	0.003055251553
54	0.003054337629
55	0.0030528863
56	0.003050954712
57	0.003049401898
58	0.003049011177
59	0.003047969933
60	0.003040652086
61	0.003036177068
62	0.003035070989
63	0.003033461894
64	0.003032610464
65	0.00303194973
66	0.003031361101
67	0.003030289519
68	0.003029708613
69	0.0030276759
70	0.003024913121
71	0.00301888294
72	0.003018009198
73	0.003017676544
74	0.003016423484
75	0.003011889058
76	0.003009913043
77	0.003009459966
78	0.003008944585
79	0.003007774466
80	0.003005821396
81	0.003005406546
82	0.003000776164
83	0.003000604635
84	0.002997630915
85	0.002994126557
86	0.002993836539
87	0.002992504948
88	0.002991009567
89	0.002990896513
90	0.002990136022
91	0.002989905929
92	0.002989286861
93	0.002988775253
94	0.002988014791
95	0.002987813746
96	0.002987241746
97	0.002986922878
98	0.002986256025
99	0.002984733651
100	0.002984589116
101	0.002982962329
102	0.002982674514
103	0.002981689825
104	0.002980645245
105	0.002977843021
106	0.002976771516
107	0.002976129884
108	0.002974962271
109	0.002974840519
110	0.002973230614
111	0.002972809131
112	0.002972384651
113	0.002971493109
114	0.00297135736
115	0.00297122655
116	0.002970534093
117	0.00297002528
118	0.002969269615
119	0.002968716194
120	0.002968390189
121	0.002968013196
122	0.002967421975
123	0.002966590485
124	0.002966204737
125	0.002965692707
126	0.002965362694
127	0.002965186142
128	0.00296507798
129	0.002964698318
130	0.00296428612
131	0.002963835022
132	0.002963468788
133	0.002962028635
134	0.00296128761
135	0.002958818273
136	0.002958702566
137	0.002955976063
138	0.00295498465
139	0.002954440469
140	0.002953194865
141	0.002953125482
142	0.0029520772
143	0.002951853749
144	0.002951628036
145	0.002950725066
146	0.002950168186
147	0.002947720101
148	0.002947071338
149	0.002946268592
150	0.002946007769
151	0.002945873135
152	0.002943562277
153	0.002942860917
154	0.002941861376
155	0.002941342211
156	0.002941181258
157	0.002940043035
158	0.002939554977
159	0.002938788087
160	0.002938440912
161	0.002936025197
162	0.002935551539
163	0.002934602623
164	0.002934347571
165	0.002933468413
166	0.002932512919
167	0.002932318287
168	0.002932067945
169	0.002931728207
170	0.002930340535
171	0.002930151048
172	0.002929440354
173	0.00292911821
174	0.002928421027
175	0.002928134861
176	0.00292780141
177	0.002927080615
178	0.002925458028
179	0.002924884666
180	0.002924707933
181	0.002924498935
182	0.00292395292
183	0.002923683906
184	0.002923339355
185	0.00292299113
186	0.002922880738
187	0.002922699458
188	0.002922473123
189	0.002922158841
190	0.002920485693
191	0.002920320445
192	0.002919524499
193	0.00291902111
194	0.002918800279
195	0.002918001003
196	0.00291785049
197	0.00291719817
198	0.00291655604
199	0.00291632883
200	0.002916057393
201	0.002915947568
202	0.002915748682
203	0.002915209326
204	0.002914429695
205	0.0029131629
206	0.002912706999
207	0.002912544365
208	0.002912172467
209	0.002911971835
210	0.002910842461
211	0.002910157889
212	0.002909835909
213	0.002909691272
214	0.002909361001
215	0.002909212198
216	0.002909030624
217	0.002908038349
218	0.002907620754
219	0.002907288446
220	0.002906665807
221	0.002906514441
222	0.002905576763
223	0.002904863137
224	0.002903843094
225	0.002903672735
226	0.002903506664
227	0.002903114658
228	0.002902916511
229	0.002902809043
230	0.002902621756
231	0.002902314412
232	0.002901411891
233	0.002901151076
234	0.002900981676
235	0.002900716992
236	0.002899667936
237	0.002899323481
238	0.002899050225
239	0.002898637816
240	0.002897832256
241	0.00289684084
242	0.002896416636
243	0.002896245953
244	0.002895304234
245	0.002894878898
246	0.002894471693
247	0.002894259396
248	0.002893993361
249	0.002893897357
250	0.00289369874
251	0.002893370468
252	0.002892941296
253	0.002892702516
254	0.002892635682
255	0.002892331324
256	0.002891762167
257	0.002891280208
258	0.002891139611
259	0.002890518614
260	0.002889066675
261	0.002888714756
262	0.002888375145
263	0.002887279395
264	0.002886750288
265	0.00288659364
266	0.002886187885
267	0.002885196884
268	0.002884649989
269	0.00288443129
270	0.002883474463
271	0.002882942498
272	0.002882495172
273	0.002882073749
274	0.002881955797
275	0.00288071223
276	0.002880518298
277	0.0028794933
278	0.002879388237
279	0.00287902517
280	0.002878953225
281	0.002878569866
282	0.002878148974
283	0.002877917851
284	0.002877014742
285	0.002876563643
286	0.002876415794
287	0.002876174061
288	0.002875951791
289	0.002875319445
290	0.002874929852
291	0.002874852398
292	0.002874607463
293	0.002874443259
294	0.002874383354
295	0.002874265584
296	0.002873766462
297	0.002872843089
298	0.002872637105
299	0.002872416571
300	0.002871871747
301	0.002871788694
302	0.002871535792
303	0.002871054566
304	0.002870842097
305	0.002870697439
306	0.002870488702
307	0.00287011262
308	0.002869760843
309	0.00286956027
310	0.002869341699
311	0.002868955724
312	0.002868594443
313	0.002868422886
314	0.002868081328
315	0.002867954886
316	0.002867723429
317	0.002867569249
318	0.002867143924
319	0.002866954601
320	0.002866446152
321	0.002866181233
322	0.002865977486
323	0.002865844097
324	0.00286545177
325	0.002865036375
326	0.002864832317
327	0.002864274215
328	0.002864177807
329	0.002863821381
330	0.002863479589
331	0.002863293301
332	0.00286274425
333	0.002862650578
334	0.002862569259
335	0.002862437431
336	0.002862230771
337	0.002861783652
338	0.002861468943
339	0.002861035859
340	0.002860717024
341	0.002860107017
342	0.002859627197
343	0.002859048554
344	0.002858757058
345	0.002858537609
346	0.002858473979
347	0.002858259521
348	0.002858170116
349	0.002857457868
350	0.002857310768
351	0.002857102584
352	0.002856890536
353	0.002856757028
354	0.002856464918
355	0.002856116535
356	0.002856031698
357	0.002855884851
358	0.002855523282
359	0.002855406485
360	0.002855130914
361	0.002854965496
362	0.002854566507
363	0.002854407937
364	0.002854054938
365	0.002853839625
366	0.00285367937
367	0.002853356059
368	0.002853246493
369	0.002853106399
370	0.002852973767
